old_clade	new_clade	cutoff	divergence_addition	divergence_scale	min_size	bushiness_branch_scale	branch_length_scale	score	bushiness	div	branch_score
9	63	0.7	0.7	5.0	10.0	9.0	5.0	0.9927353351413858	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	28	0.7	0.7	5.0	20.0	9.0	5.0	1.044411749953182	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	16	0.7	0.7	5.0	30.0	9.0	5.0	1.063288648278071	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	71	0.7	0.9	5.0	10.0	9.0	5.0	1.1514852248685503	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	34	0.7	0.9	5.0	20.0	9.0	5.0	1.2178349899399123	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	22	0.7	0.9	5.0	30.0	9.0	5.0	1.2421052877861989	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	73	0.7	1.1	5.0	10.0	9.0	5.0	1.3106161002032737	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	35	0.7	1.1	5.0	20.0	9.0	5.0	1.3917081552736592	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	22	0.7	1.1	5.0	30.0	9.0	5.0	1.421529822698386	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	61	0.8	0.5	5.0	10.0	9.0	5.0	0.8334914660605878	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	30	0.8	0.5	5.0	20.0	9.0	5.0	0.8672780842265937	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	20	0.8	0.5	5.0	30.0	9.0	5.0	0.8779914117818678	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	64	0.8	0.7	5.0	10.0	9.0	5.0	0.9923323863476172	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	30	0.8	0.7	5.0	20.0	9.0	5.0	1.0403113656446927	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	20	0.8	0.7	5.0	30.0	9.0	5.0	1.0553100242220717	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	73	0.8	0.9	5.0	10.0	9.0	5.0	1.1495426403386464	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	36	0.8	0.9	5.0	20.0	9.0	5.0	1.2119878135756115	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	25	0.8	0.9	5.0	30.0	9.0	5.0	1.2315704172358877	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	75	0.8	1.1	5.0	10.0	9.0	5.0	1.3079978008428113	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	38	0.8	1.1	5.0	20.0	9.0	5.0	1.3841641108291904	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	26	0.8	1.1	5.0	30.0	9.0	5.0	1.4083475179201268	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	50	0.9	0.5	5.0	10.0	9.0	5.0	0.8383815260348486	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	27	0.9	0.5	5.0	20.0	9.0	5.0	0.8651550224640513	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	18	0.9	0.5	5.0	30.0	9.0	5.0	0.872687479821936	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	62	0.9	0.7	5.0	10.0	9.0	5.0	0.9929637720356379	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	31	0.9	0.7	5.0	20.0	9.0	5.0	1.035081999039051	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	21	0.9	0.7	5.0	30.0	9.0	5.0	1.0441042619044716	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	66	0.9	0.9	5.0	10.0	9.0	5.0	1.1511137471950508	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	31	0.9	0.9	5.0	20.0	9.0	5.0	1.2066211757126755	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	21	0.9	0.9	5.0	30.0	9.0	5.0	1.218221227968217	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	74	0.9	1.1	5.0	10.0	9.0	5.0	1.3076857784050964	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	36	0.9	1.1	5.0	20.0	9.0	5.0	1.3763425643430502	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	26	0.9	1.1	5.0	30.0	9.0	5.0	1.3905204059887144	0.2788825003690834	0.09102154929577501	0.16227915282853625
